行政区,电子监管号,项目名称,项目位置,面积(公顷),土地来源,土地用途,供地方式,土地使用年限,行业分类,土地级别,成交价格(万元),土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期
62团,6604022013A00498,62团2013年“新程雅苑”小区廉租房,62团六连,8.561500,0.171000,廉租住房用地,划拨,,房屋和土木工程业,十四等级,48.9752,,1.20,1.20,2014年01月15日,2014年04月01日,2014年11月01日,,,四师国土资源局,2013年12月26日
凤凰县,4331232014B00011,凤凰家福房地产开发有限公司商业、住宅用地,沱江镇凤大二级路东南侧,13.192000,0.000000,其他普通商品住房用地,挂牌出让,其他普通商品住房用地70年; 其他商服用地40,房地产业,四级,20000.0000,凤凰家福房地产开发有限公司,1.00,4.00,2013年12月26日,2014年11月26日,2017年11月25日,,,凤凰县,2013年12月26日
奇台县,6523252013B02037,鑫农缘合作社,塔塔乡黑沟村,3.333400,0.000000,工业用地,挂牌出让,50,农副食品加工业,未评估地区,60.0012,奇台县鑫农缘农业服务专业合作社,,1.00,2014年01月10日,2014年04月01日,2016年04月01日,,,奇台县,2013年12月26日
温岭市,3310812013A03302-1,台州第一技师学院拆迁安置工程,城北街道横塘村,0.897100,0.000000,经济适用住房用地,划拨,,国家机构,十级,,,1.00,,2014年06月20日,2015年12月20日,2017年12月20日,,,温岭市人民政府,2013年12月26日
廉江市,4408812013B00700,广东一品实业集团有限公司家具制造建设用地（地块七之三）,廉江市金山工业园晨光区,0.206045,0.000000,工业用地,拍卖出让,50,家具制造业,二级,38.0000,广东一品实业集团有限公司,0.80,2.00,2014年03月25日,2015年03月24日,2018年03月23日,,,廉江市,2013年12月26日
正阳县,4117242013A00250,北城西路(东段),建设路东侧,0.470500,0.000000,公路用地,划拨,,道路运输业,十四等级,0.0000,,0.00,0.00,2014年06月01日,2014年12月31日,2017年12月30日,,,正阳县人民政府,2013年12月26日
余姚市,3302812013B02109,宁波悍力脚轮制造有限公司年产500万套脚轮生产项目,朗霞街道新新村,0.378600,0.000000,工业用地,挂牌出让,50,其它,一级,283.9500,宁波悍力脚轮制造有限公司,1.20,2.00,2013年12月31日,2014年01月07日,2015年01月07日,,,余姚市,2013年12月26日
凌云县,4510272013B00198,龙绍军户国有划拨土地使用权补办出让手续,凌云县泗城镇前进街,0.032950,0.032950,其他普通商品住房用地,协议出让,70,住宿业,二级,34.2021,龙绍军,,,2013年12月27日,1900年01月01日,1900年01月01日,,,凌云县,2013年12月26日
廉江市,4408812013B00683,广东一品实业集团有限公司家具制造建设用地（地块七之一）,廉江市金山工业园晨光区,5.454747,0.000000,工业用地,拍卖出让,50,家具制造业,二级,1023.0000,广东一品实业集团有限公司,0.80,2.00,2014年03月25日,2015年03月24日,2018年03月23日,,,廉江市,2013年12月26日
长兴县,3305222013B05325,长兴虹达纺织有限公司,龙山新区西峰坝村,0.705600,0.705600,工业用地,挂牌出让,50,其它,十三等级,215.0000,长兴虹达纺织有限公司,1.20,,2014年04月10日,2014年04月15日,2015年04月15日,,,长兴县,2013年12月26日
长兴县,3305222013B05313,长兴大地新型材料有限公司,南太湖老虎洞村,1.255000,0.000000,工业用地,挂牌出让,50,其它,十三等级,415.0000,长兴大地新型材料有限公司,1.50,,2014年04月10日,2014年06月01日,2016年06月01日,,,长兴县,2013年12月26日
