行政区,电子监管号,项目名称,项目位置,面积(公顷),土地来源,土地用途,供地方式,土地使用年限,行业分类,土地级别,成交价格(万元),土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期
永丰县,3608252013A00221,古县镇阳丰商贸区路网等基础设施项目,古县镇古县村,1.713300,0.000000,公路用地,划拨,,国家机构,四级,0.0000,,0.00,0.00,2013年11月13日,2013年11月13日,2015年11月12日,,,永丰县人民政府,2013年11月12日
东乡族自治县,6229262013A00458,东乡县国土资源局业务用房及防灾减灾教育基地建设项目,东乡县锁南镇锁南村,0.120000,0.120000,机关团体用地,划拨,,国家机构,一级,,,1.00,5.00,2013年09月20日,2013年09月25日,2013年12月30日,,,东乡族自治县人民政府,2013年11月12日
东乡族自治县,6229262013A00445,东乡县综合图书馆建设项目,东乡县锁南镇锁南村,0.402000,0.402000,机关团体用地,划拨,,文化艺术业,一级,,,1.00,5.00,2013年09月20日,2013年09月25日,2013年12月30日,,,东乡族自治县人民政府,2013年11月12日
东乡族自治县,6229262013A00436,东乡县政务服务中心建设项目,东乡县锁南镇锁南村,0.378000,0.378000,机关团体用地,划拨,,国家机构,一级,,,1.00,5.00,2013年09月20日,2013年09月25日,2013年12月30日,,,东乡族自治县人民政府,2013年11月12日
东乡族自治县,6229262013A00420,东乡县电信分公司综合通信生产楼建设项目,东乡县锁南镇锁南村,0.238000,0.238000,公共设施用地,划拨,,电信和其他信息传输服务业,一级,,,1.00,5.00,2013年09月20日,2013年09月25日,2013年12月30日,,,东乡族自治县人民政府,2013年11月12日
永丰县,3608252013A00217,古县镇阳丰商贸区被征地农民安置项目,古县镇古县村,1.266700,0.000000,廉租住房用地,划拨,,农业,四级,0.0000,,2.25,2.25,2013年11月13日,2013年11月13日,2015年11月12日,,,永丰县人民政府,2013年11月12日
东乡族自治县,6229262013A00417,东乡县邮政综合生产楼建设项目,东乡县锁南镇锁南村,0.168000,0.168000,公共设施用地,划拨,,邮政业,一级,,,1.00,5.00,2013年09月20日,2013年09月25日,2013年12月30日,,,东乡族自治县人民政府,2013年11月12日
东乡族自治县,6229262013A00408,东乡县广电综合服务楼建设项目,东乡县锁南镇锁南村,0.232000,0.232000,新闻出版用地,划拨,,广播、电视、电影和音像业,一级,,,1.00,5.00,2013年09月20日,2013年09月25日,2013年12月30日,,,东乡族自治县人民政府,2013年11月12日
东乡族自治县,6229262013A00398,东乡县党政机关办公用房建设项目,东乡县锁南镇锁南村,2.163600,2.163600,机关团体用地,划拨,,中国共产党机关,一级,,,1.00,5.00,2013年09月16日,2013年09月25日,2013年12月30日,,,东乡族自治县人民政府,2013年11月12日
东乡族自治县,6229262013A00385,东乡县综合档案馆建设项目,东乡县锁南镇锁南村,0.240000,0.240000,机关团体用地,划拨,,国家机构,一级,,,1.00,5.00,2013年09月20日,2013年09月25日,2013年12月30日,,,东乡族自治县人民政府,2013年11月12日
永丰县,3608252013A00200,2012年农村村民地灾搬迁、灾后重建和住房建设项目,各有关村,28.806000,0.000000,廉租住房用地,划拨,,农业,未评估地区,0.0000,,2.25,2.25,2013年11月13日,2013年11月13日,2015年11月12日,,,永丰县人民政府,2013年11月12日
东乡族自治县,6229262013A00371,东乡农行综合办公楼建设项目,东乡县锁南镇锁南村,0.210000,0.210000,机关团体用地,划拨,,银行业,一级,,,1.00,5.00,2013年09月20日,2013年09月25日,2013年12月30日,,,东乡族自治县人民政府,2013年11月12日
东乡族自治县,6229262013A00362,东乡县人行综合办公楼建设项目,东乡县锁南镇锁南村,0.253400,0.148500,机关团体用地,划拨,,银行业,一级,,,1.00,5.00,2013年09月20日,2013年09月25日,2013年12月30日,,,东乡族自治县人民政府,2013年11月12日
永丰县,3608252013A00198,中心工业园路网项目,永丰县工业园,1.855600,0.000000,公路用地,划拨,,道路运输业,四级,0.0000,,0.00,0.00,2013年11月13日,2013年11月13日,2015年11月12日,,,永丰县人民政府,2013年11月12日
永丰县,3608252013A00180,永祥路项目,恩江镇花园村,0.656400,0.000000,公路用地,划拨,,道路运输业,二级,0.0000,,0.00,0.00,2013年11月13日,2013年11月13日,2015年11月12日,,,永丰县人民政府,2013年11月12日
