行政区,电子监管号,项目名称,项目位置,面积(公顷),土地来源,土地用途,供地方式,土地使用年限,行业分类,土地级别,成交价格(万元),土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期
诸城市,3707822013B08805,佳士博商贸中心城区项目,诸城市东环路北段东侧,0.844200,0.844200,其他商服用地,挂牌出让,40,商务服务业,四级,1519.5600,山东佳士博食品有限公司,1.20,1.70,2013年11月28日,2014年11月21日,2017年11月13日,,,诸城市,2013年11月14日
诸城市,3707822013B08757,佳士博商贸中心项目,平日路昌城段与青莱高速交叉口东南角,1.701000,1.701000,其他商服用地,挂牌出让,40,商务服务业,二级,2296.3500,山东佳士博食品有限公司,1.20,1.50,2013年11月30日,2014年11月21日,2017年11月13日,,,诸城市,2013年11月14日
诸城市,3707822013B08779,佳士博商务大厦辛兴区项目,诸城市辛兴镇工业园路与永兴路交叉口东南角,3.232400,3.232400,其他商服用地,挂牌出让,40,商务服务业,二级,4363.7400,山东佳士博食品有限公司,1.20,1.50,2013年12月19日,2014年12月12日,2017年12月01日,,,诸城市,2013年11月14日
诸城市,3707822013B08746,佳士博产品展销中心项目,平日路昌城段与青莱高速交叉口东南角,1.773900,1.773900,其他商服用地,挂牌出让,40,商务服务业,二级,2394.7650,山东佳士博食品有限公司,1.20,1.50,2013年12月20日,2014年12月12日,2017年12月01日,,,诸城市,2013年11月14日
仙桃市,4290042013B04707,仙桃市义杰农贸有限公司,仙桃市陈场镇启元路以北，市昌农实业有限公司西侧,0.121554,0.121554,其他普通商品住房用地,挂牌出让,70,零售业,四级,34.0000,仙桃市义杰农贸有限公司,1.00,2.00,2014年01月11日,2015年01月10日,2018年01月10日,,,仙桃市,2013年11月14日
仙桃市,4290042013B04690,张国华,仙桃市沔城回族镇小桥街西侧，柴河南侧,0.100946,0.100946,中低价位、中小套型普通商品住房用地,挂牌出让,70,零售业,四级,29.0000,张国华,1.00,2.00,2014年01月11日,2015年01月10日,2017年01月10日,,,仙桃市,2013年11月14日
惠州市本级,4413002013A02787,西区派出所、巡警中队和交警大队业务用房用地,西区塘尾,0.990000,0.990000,机关团体用地,划拨,,国家机构,二级,,,1.00,2.00,2013年11月14日,2014年11月13日,2016年11月13日,,,惠州市国土资源局,2013年11月14日
仙桃市,4290042013B04763,湖北省烟草公司仙桃市公司,仙桃市毛嘴镇开元大道北侧，毛嘴卤鸡厂东侧,0.346931,0.270951,商务金融用地,挂牌出让,40,批发业,四级,88.0000,湖北省烟草公司仙桃市公司,0.60,1.00,2014年01月11日,2015年01月10日,2017年01月10日,,,仙桃市,2013年11月14日
社旗县,4113272013B00715,房地产开发（拍2013-28号）,政和街东侧、政和公寓北侧、12米路西侧,0.602953,0.602953,其他普通商品住房用地,拍卖出让,其他普通商品住房用地70年; 其他商服用地40,房地产业,二级,636.0000,南阳市博瑞房地产开发有限公司社旗分公司,2.50,3.00,2014年07月14日,2014年07月14日,2016年07月14日,,,社旗县,2013年11月14日
新罗区,3508022013B02195,2013挂-G31龙岩市杰辉金属门业有限公司(年产2万套新型高防盗性金属门生产线项目),新罗区西坡镇硿口村,1.120300,0.000000,工业用地,挂牌出让,50,金属制品业,四级,313.0000,龙岩市杰辉金属门业有限公司,0.70,1.50,2015年06月30日,2016年06月30日,2017年12月31日,,,龙岩市,2013年11月14日
新罗区,3508022013B02184,2013挂-G29龙岩市宝光机械有限公司（烟气脱硫除尘环保设备配件生产项目）,新罗区西坡镇赤坑村,2.000000,0.000000,工业用地,挂牌出让,50,金属制品业,四级,575.0000,龙岩市宝光机械有限公司,0.70,1.20,2015年06月30日,2016年06月30日,2017年12月31日,,,龙岩市,2013年11月14日
西安市本级,6101002013A08959,市政道路,三星综合保税区和长安通信产业园,15.083867,0.000000,街巷用地,划拨,,城市公共交通业,未评估地区,,,,0.10,1900年01月01日,1900年01月01日,1900年01月01日,,,西安高新技术产业开发区管委会,2013年11月14日
社旗县,4113272013B00700,工业用地(拍2013-24号),宏达路南侧、15米路东侧,1.774919,1.774919,工业用地,拍卖出让,50,塑料制品业,二级,267.0000,社旗县星海塑料制品有限公司,1.00,,2014年07月14日,2014年07月15日,2016年07月15日,,,社旗县,2013年11月14日
西安市本级,6101002013A11247,木塔北村安置项目,科技六路以南，木塔一路以东,2.016780,0.000000,廉租住房用地,划拨,,居民服务业,未评估地区,,,1.00,3.70,2013年11月18日,2014年10月30日,2017年10月30日,,,西安市人民政府,2013年11月14日
鄂托克旗,1506242013A01035,鄂托克旗乌兰镇路网建设工程项目,鄂托克旗乌兰镇,1.861746,0.000000,街巷用地,划拨,,城市公共交通业,十五等级,0.0000,,0.00,0.00,2013年11月20日,2013年12月01日,2015年05月30日,,,鄂托克旗人民政府,2013年11月14日
洛南县,6110212013A00227,省道202线洛南过境公路建设项目,洛南县城关镇鹤眼岭、柳树洼等10个村,15.626700,0.000000,公路用地,划拨,,公共设施管理业,未评估地区,,,,0.01,2013年09月10日,2013年11月30日,2015年11月30日,,,洛南县人民政府,2013年11月14日
乐至县,5120222013A00819-1,童家镇内岭铺村等农民集中安置房B区建设项目,童家镇黄岭铺村九社、徐家桥村十社,2.550700,0.000000,廉租住房用地,划拨,,社会保障业,十四等级,306.0824,,1.00,2.00,2013年12月10日,2014年01月10日,2015年12月14日,,,乐至县人民政府,2013年11月14日
上蔡县,4117222013A02586,80上蔡县兴工投资公司修建蔡河大道部分路段,麦仁村圈刘自然村东南角,0.864500,0.864500,公路用地,划拨,,公共设施管理业,四级,,,,,2014年01月21日,2015年01月20日,2017年01月19日,,,上蔡县人民政府,2013年11月14日
夷陵区,4205062013B00691,湖北裕盛置业有限责任公司,夷陵区分乡镇分乡场村二组,0.151598,0.151598,其他普通商品住房用地,挂牌出让,其他普通商品住房用地70年; 批发零售用地40,房地产业,十二级,84.0000,湖北裕盛置业有限责任公司,1.00,3.00,2014年02月14日,2015年02月14日,2017年02月14日,,,宜昌市夷陵区,2013年11月14日
建阳市,3507842013A00546,童游组团林后大桥及接线工程,建阳市童游街道办事处赤岸村,2.603700,0.000000,公路用地,划拨,,道路运输业,十三等级,,,,,2013年11月14日,2014年01月14日,2015年11月14日,,,建阳市人民政府,2013年11月14日
上蔡县,4117222013A02575,79上蔡县兴工投资公司修建秦相大道，拥翠路部分路段,秦相大道东侧,1.268800,1.268800,公路用地,划拨,,公共设施管理业,四级,,,,,2014年01月21日,2015年01月20日,2017年01月19日,,,上蔡县人民政府,2013年11月14日
