行政区,电子监管号,项目名称,项目位置,面积(公顷),土地来源,土地用途,供地方式,土地使用年限,行业分类,土地级别,成交价格(万元),土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期
东阿县,3715242013B00978,房地产开发,东阿县光明街东段路南,0.763500,0.763500,中低价位、中小套型普通商品住房用地,挂牌出让,70,房地产业,三级,1374.3000,东阿县天源房地产开发有限公司,1.00,2.96,2013年10月30日,2014年05月03日,2017年05月03日,,,东阿县,2013年05月03日
黎平县,5226312013B00759,中潮工业园区牛家湾标准厂房建设一号地块,黎平县中潮镇牛家湾,7.217669,0.000000,工业用地,挂牌出让,50,工艺品及其他制造业,十五等级,996.0400,黎平县投融资开发建设有限责任公司,1.00,0.00,2014年05月03日,2015年05月03日,2017年05月03日,,,黎平县,2013年05月03日
通山县,4212242013B01367,胡四清,通羊镇南门桥社区桃花泉小区(老柴油机厂宿舍),0.002061,0.002061,其他普通商品住房用地,协议出让,70,住宿业,二级,0.5700,胡四清,3.00,3.00,1900年01月01日,1900年01月01日,1900年01月01日,,,通山县,2013年05月03日
通山县,4212242013B01351,王金云,通羊镇南门社区流水泉小区,0.004007,0.004007,其他普通商品住房用地,协议出让,70,住宿业,二级,0.4000,王金云,0.38,0.38,1900年01月01日,1900年01月01日,1900年01月01日,,,通山县,2013年05月03日
克拉玛依市本级,6502002013B00269,九公里田园居住区2区,九公里田园居住区2区,10.517985,0.000000,其他普通商品住房用地,挂牌出让,70,房地产业,四级,3272.0000,克拉玛依市城投房地产开发有限责任公司,1.00,,2013年05月04日,2013年05月15日,2015年12月31日,,,克拉玛依市,2013年05月03日
简阳市,5120812013B00203,房地产开发,石盘镇龙泉湖社区二组,1.697900,1.621500,其他普通商品住房用地,拍卖出让,其他普通商品住房用地70年; 其他商服用地40,房地产业,十三等级,3950.0000,四川荟储房地产开发有限责任公司,1.00,3.00,2013年04月25日,2013年10月25日,2014年10月25日,,,简阳市,2013年05月03日
简阳市,5120812013B00225,房地产开发,石盘镇银定居委会三组,0.934179,0.934179,其他普通商品住房用地,拍卖出让,其他普通商品住房用地70年; 其他商服用地40,房地产业,十三等级,2860.0000,四川北研实业有限公司,1.00,3.00,2013年04月25日,2013年10月25日,2014年10月25日,,,简阳市,2013年05月03日
托克逊县,6521232013B00093,旧城改造,托克逊县白杨河北岸、胜利路南侧,0.959411,0.959411,其他普通商品住房用地,挂牌出让,70,房地产业,三级,117.1000,新疆金世房地产开发有限公司,1.00,1.50,2013年05月06日,2013年05月08日,2015年05月08日,,,托克逊县,2013年05月03日
石河子市,6590012013A00707,石河子南山新区南七路（东环路－东五路）道路工程项目,石河子南山新区,16.225000,0.000000,公路用地,划拨,,道路运输业,九级,162.2500,,,,2013年06月10日,2013年06月11日,2014年06月10日,,,石河子市人民政府,2013年05月03日
奇台农场,6606182013A00052,奇台农场108社区华裕佳苑住宅小区建设项目,奇台农场108社区3连,2.204700,0.000000,廉租住房用地,划拨,,农、林、牧、渔服务业,十五等级,22.0470,,1.00,1.20,2013年05月06日,2013年05月13日,2013年12月31日,,,六师国土资源局,2013年05月03日
克拉玛依市本级,6502002013B00226,九公里田园居住区2区,九公里田园居住区2区,13.909501,0.000000,其他普通商品住房用地,挂牌出让,70,房地产业,四级,4326.0000,克拉玛依市城投房地产开发有限责任公司,1.00,,2013年05月04日,2013年06月15日,2015年12月31日,,,克拉玛依市,2013年05月03日
克拉玛依市本级,6502002013B00219,九公里田园居住区2区,九公里田园居住区2区,3.868142,0.000000,其他普通商品住房用地,挂牌出让,70,房地产业,四级,1204.0000,克拉玛依市城投房地产开发有限责任公司,1.00,,2013年05月04日,2013年06月15日,2015年12月31日,,,克拉玛依市,2013年05月03日
新昌县,3306242013A01845-1,新昌县澄潭镇人民政府[澄潭镇澄潭中学边安置小区],新昌县澄潭镇澄潭中学边,0.702700,0.000000,经济适用住房用地,划拨,,国家机构,十二级,10.0000,,1.00,1.05,2014年07月03日,2015年07月03日,2017年07月03日,,,新昌县人民政府,2013年05月03日
简阳市,5120812013B00219,房地产开发,禾丰镇裕民街,1.983200,1.983200,其他普通商品住房用地,拍卖出让,其他普通商品住房用地70年; 其他商服用地40,房地产业,十三等级,3780.0000,四川锦智房地产开发有限公司,1.00,3.00,2013年04月25日,2013年10月25日,2015年04月25日,,,简阳市,2013年05月03日
固原市本级,6404002013A00157,原州区头营镇人民政府办公楼,原州区头营镇,2.046600,0.000000,机关团体用地,划拨,,中国共产党机关,未评估地区,,,,0.11,2013年05月12日,2013年05月12日,2014年05月12日,,,固原市人民政府,2013年05月03日
六运湖农场,6606152013A00013,六运湖农场安全用水覆盖及集中供热送温暖建设项目,六运湖农场场部，规划南环路北侧，规划西环路东侧，规划纵一路西侧,1.209200,1.209200,公共设施用地,划拨,,水的生产和供应业,十五等级,6.0460,,1.14,1.14,2013年05月15日,2013年05月20日,2013年12月31日,,,六师国土资源局,2013年05月03日
101团,6606012013A00103,五家渠市绿地灌溉系统（首部）建设项目,五家渠市迎宾大道以南，滨河南路老猛进干渠以东。,0.131000,0.131000,公共设施用地,划拨,,农、林、牧、渔服务业,十三等级,2.6200,,1.00,1.00,2013年05月15日,2013年05月20日,2013年12月31日,,,六师国土资源局,2013年05月03日
固原市本级,6404002013A00131,宁夏六盘山热电厂2×330MW热电联产工程,固原东关路东侧,25.689300,0.000000,公共设施用地,划拨,,其它,三级,,,0.67,,2013年05月20日,2013年05月20日,2014年05月20日,,,固原市人民政府,2013年05月03日
101团,6606012013A00092,101团学校综合教学楼建设项目,五家渠市团结路东侧,0.139400,0.139400,科教用地,划拨,,教育业,十三等级,2.7880,,1.00,,2013年05月15日,2013年05月20日,2013年12月31日,,,六师国土资源局,2013年05月03日
焉耆回族自治县,6528262013B00219,焉耆县天河国有资产经营有限责任公司国有资产拍卖,焉耆县政府路东侧,0.009594,0.009594,其他商服用地,挂牌出让,40,租赁业,一级,4.7970,焉耆县天河国有资产经营有限责任公司,1.00,100.00,2013年05月03日,2013年05月03日,2013年12月31日,,,焉耆县,2013年05月03日
福海县,6543232013B00545,设备停放维修厂,324省道北,1.328100,0.000000,仓储用地,挂牌出让,50,仓储业,三级,111.5604,阿勒泰玛益达公路工程有限公司,,1.00,2013年05月03日,2013年05月03日,2015年05月03日,,,福海县,2013年05月03日
焉耆回族自治县,6528262013B00202,焉耆县天河国有资产经营有限责任公司,焉耆县政府路东侧,0.005871,0.005871,其他商服用地,拍卖出让,40,租赁业,一级,2.9355,焉耆县天河国有资产经营有限责任公司,1.00,100.00,2013年05月03日,2013年05月03日,2013年12月31日,,,焉耆县,2013年05月03日
剑河县,5226292013B00241-1,剑河县章氏古典家具有限公司工业项目用地,剑河县屯州工业园区（屯州加油站斜对面）,1.056400,1.056400,工业用地,挂牌出让,50,家具制造业,十五等级,105.6400,剑河县章氏古典家具有限公司,0.00,0.50,2013年06月03日,2013年07月03日,2015年07月02日,,,剑河县,2013年05月03日
焉耆回族自治县,6528262013B00196,焉耆县天河国有资产经营有限责任公司国有资产拍卖,焉耆县政府路东侧,0.002410,0.002410,其他商服用地,挂牌出让,40,租赁业,一级,1.2050,焉耆县天河国有资产经营有限责任公司,1.00,100.00,2013年05月03日,2013年05月03日,2013年12月31日,,,焉耆县,2013年05月03日
焉耆回族自治县,6528262013B00181,焉耆县天河国有资产经营有限责任公司国有资产拍卖,焉耆县政府路东侧,0.007809,0.007809,其他商服用地,拍卖出让,40,租赁业,一级,3.9045,焉耆县天河国有资产经营有限责任公司,1.00,100.00,2013年05月03日,2013年05月03日,2013年12月10日,,,焉耆县,2013年05月03日
固原市本级,6404002013A00247,固原市公安局经济开发区分局,固原扶贫发展试验区,0.980800,0.000000,机关团体用地,划拨,,中国共产党机关,三级,,,,0.69,2013年05月12日,2013年05月12日,2014年05月12日,,,固原市人民政府,2013年05月03日
焉耆回族自治县,6528262013B00175,焉耆县天河国有资产经营有限责任公司,焉耆县政府路东侧,0.002525,0.002525,其他商服用地,挂牌出让,40,租赁业,一级,1.2625,焉耆县天河国有资产经营有限责任公司,1.00,100.00,2013年05月03日,2013年05月03日,2013年12月31日,,,焉耆县,2013年05月03日
焉耆回族自治县,6528262013B00167,焉耆县天河国有资产经营有限责任公司国有资产拍卖,焉耆县政府路东侧,0.015534,0.015534,其他商服用地,拍卖出让,40,租赁业,一级,7.7670,焉耆县天河国有资产经营有限责任公司,1.00,100.00,2013年05月03日,2013年05月03日,2013年12月30日,,,焉耆县,2013年05月03日
焉耆回族自治县,6528262013B00156,焉耆县天河国有资产经营有限责任公司国有资产拍卖,焉耆县政府路东侧,0.002952,0.002952,其他商服用地,挂牌出让,40,租赁业,一级,1.4760,焉耆县天河国有资产经营有限责任公司,1.00,100.00,2013年05月03日,2013年05月03日,2013年12月31日,,,焉耆县,2013年05月03日
焉耆回族自治县,6528262013B00145,焉耆县天河国有资产经营有限责任公司国有资产拍卖,焉耆县政府路东侧,0.009393,0.009393,其他商服用地,挂牌出让,40,租赁业,一级,4.6965,焉耆县天河国有资产经营有限责任公司,1.00,100.00,2013年05月03日,2013年05月03日,2013年12月31日,,,焉耆县,2013年05月03日
固原市本级,6404002013A00167,高平110千伏变电站,固原城区中山北街东街延伸东侧,0.460000,0.000000,公共设施用地,划拨,,其它,四级,,,,,2013年05月12日,2013年05月12日,2014年05月12日,,,固原市人民政府,2013年05月03日
