行政区,电子监管号,项目名称,项目位置,面积(公顷),土地来源,土地用途,供地方式,土地使用年限,行业分类,土地级别,成交价格(万元),土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期
株洲市本级,4302002014A02265,株洲市2010年重金属污染土地治理第十五批次打捆实施方案（明照村安置房）,株洲市荷塘区明照乡明照村,4.991700,0.000000,其他普通商品住房用地,划拨,,房地产业,六级,,,,1.00,2015年04月15日,2015年04月30日,2017年04月30日,,,株洲市人民政府,2014年12月15日
株洲市本级,4302002014A02256,株洲市盛康托养中心,株洲市芦淞区曲尺乡曲尺村,1.723200,0.000000,医卫慈善用地,划拨,,社会福利业,六级,0.0000,,0.90,0.90,2015年04月15日,2015年04月30日,2017年04月30日,,,株洲市人民政府,2014年12月15日
晋江市,3505822014B09498,晋江潮兴汽配有限公司厂房及配套设施,永和镇马坪村,0.600000,0.000000,工业用地,挂牌出让,50,汽车制造,八级,214.0000,晋江潮兴汽配有限公司,1.00,1.50,2014年12月31日,2015年12月31日,2017年12月31日,,,晋江市,2014年12月15日
汕头市本级,4405002014A00159,汕揭梅高速公路（金平段）,汕头市金平区,26.839500,0.000000,公路用地,划拨,,道路运输业,四级,,,,,1900年01月01日,1900年01月01日,1900年01月01日,,,汕头市人民政府,2014年12月15日
晋江市,3505822014B09617,福建峰安实业有限公司扩建项目,青阳街道象山社区,0.014800,0.014800,仓储用地,协议出让,50,仓储业,八级,14.7400,福建峰安实业有限公司,1.80,2.70,2014年12月31日,2015年12月31日,2017年12月31日,,,晋江市,2014年12月15日
汕头市本级,4405002014A00171,汕揭梅高速公路（龙湖段）,汕头市龙湖区,15.284300,0.000000,公路用地,划拨,,道路运输业,四级,,,,,1900年01月01日,1900年01月01日,1900年01月01日,,,汕头市人民政府,2014年12月15日
临夏县,6229212014B00598,王志祥用地,临夏县新集镇埉塘村,3.187400,0.000000,中低价位、中小套型普通商品住房用地,挂牌出让,70,房地产业,二级,1674.0000,王志祥,1.00,2.00,2015年01月15日,2015年02月15日,2017年06月15日,,,临夏县人民政府,2014年12月15日
自贡市本级,5103002014A00488,自贡市龙汇街南延线延伸段道路工程,自贡市南湖生态城,1.377035,0.294683,街巷用地,划拨,,中国共产党机关,一级,208.2074,,0.00,0.00,2014年12月15日,2015年11月30日,2017年11月30日,,,自贡市人民政府,2014年12月15日
晋江市,3505822014B09487,晋江市宏兴服饰织造有限公司厂房及配套设施,英林镇谢厝街村,0.656400,0.000000,工业用地,挂牌出让,50,纺织服装、鞋、帽制造业,八级,237.0000,晋江市宏兴服饰织造有限公司,1.80,2.70,2014年12月31日,2015年12月31日,2017年12月31日,,,晋江市,2014年12月15日
滦南县,1302242014B01338,建设商业住宅楼,滦南县建设路东侧、绿景中心城住宅小区南侧,0.289674,0.000000,其他普通商品住房用地,挂牌出让,70,房屋和土木工程业,三级,500.2500,唐山照祖房地产开发有限公司,1.00,2.90,2014年12月20日,2015年01月20日,2017年01月19日,,,滦南县,2014年12月15日
晋江市,3505822014B09608,晋江兴安皮业有限公司扩建项目,青阳街道洪宅垵社区,0.003700,0.003700,仓储用地,协议出让,50,仓储业,八级,3.6900,晋江兴安皮业有限公司,1.00,1.50,2014年12月31日,2015年12月31日,2017年12月31日,,,晋江市,2014年12月15日
晋江市,3505822014B09477,福建公元食品有限公司1厂房及配套设施,永和镇英墩村,0.796400,0.000000,工业用地,挂牌出让,50,食品制造业,八级,291.0000,福建公元食品有限公司,1.50,2.20,2014年12月31日,2015年12月31日,2017年12月31日,,,晋江市,2014年12月15日
临夏县,6229212014B00581,潘文平用地,临夏县新集镇埉塘村,2.000000,0.000000,中低价位、中小套型普通商品住房用地,挂牌出让,70,房地产业,二级,1487.0000,潘文平,1.00,2.00,2015年01月15日,2015年02月15日,2017年06月30日,,,临夏县人民政府,2014年12月15日
滦南县,1302242014B01320,建设商业住宅楼,滦南县建设路东侧、绿景中心城住宅小区南侧,0.576969,0.000000,其他普通商品住房用地,挂牌出让,70,房屋和土木工程业,三级,995.3300,唐山照祖房地产开发有限公司,1.00,2.90,2014年12月20日,2015年01月20日,2017年01月19日,,,滦南县,2014年12月15日
临夏县,6229212014B00578,临夏昌明置业有限公司用地,临夏县新集镇埉塘村,5.960300,0.000000,中低价位、中小套型普通商品住房用地,挂牌出让,70,房地产业,二级,4415.0000,临夏昌明置业有限公司,1.00,2.00,2015年01月15日,2015年02月15日,2017年06月15日,,,临夏县人民政府,2014年12月15日
株洲市本级,4302002014A02419,株洲职教城第一附属中学,株洲市学林办事处大丰社区,13.067100,0.000000,科教用地,划拨,,社会福利业,六级,0.0000,,0.00,0.83,2015年02月11日,2015年05月13日,2017年02月10日,,,株洲市人民政府,2014年12月15日
晋江市,3505822014B09594,晋江鸿昌食品有限公司扩建项目,青阳街道象山社区、洪宅垵社区,0.012800,0.012800,仓储用地,协议出让,50,仓储业,八级,12.7500,晋江鸿昌食品有限公司,1.50,2.20,2014年12月31日,2015年12月31日,2017年12月31日,,,晋江市,2014年12月15日
晋江市,3505822014B09574,福建省晋江市宝马鞋塑实业有限公司扩建项目,青阳街道象山社区,0.048400,0.048400,仓储用地,协议出让,50,仓储业,八级,48.2100,福建省晋江市宝马鞋塑实业有限公司,1.80,2.70,2014年12月31日,2015年12月31日,2017年12月31日,,,晋江市,2014年12月15日
晋江市,3505822014B09461,晋江鑫泰货架有限公司厂房及配套设施,永和镇力争村、古厝村,1.233300,0.000000,工业用地,挂牌出让,50,金属制品业,八级,472.0000,晋江鑫泰货架有限公司,1.00,1.50,2014年12月31日,2015年12月31日,2017年12月31日,,,晋江市,2014年12月15日
