行政区,电子监管号,项目名称,项目位置,面积(公顷),土地来源,土地用途,供地方式,土地使用年限,行业分类,土地级别,成交价格(万元),土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期
宁化县,3504242014A00267,宁化县离退休干部（老年人）活动中心,翠江镇双虹村塔山,1.027200,0.614600,文体娱乐用地,划拨,,文化艺术业,十五等级,0.0001,,0.50,1.00,2014年06月23日,2014年08月23日,2016年06月22日,,,宁化县人民政府,2014年06月23日
昌吉市,6523012014A02413,塔城路,昌吉市建国路办事处,13.440000,0.000000,公路用地,划拨,,中国共产党机关,一级,,,,,2014年06月23日,2015年06月22日,2016年06月21日,,,昌吉市人民政府,2014年06月23日
横县,4501272014A00356,广西沿海铁路黎塘至钦州段扩能改造工程（横县段）项目,横县,104.673200,5.663000,铁路用地,划拨,,铁路运输业,十四等级,,,,,2014年06月23日,2014年07月23日,2016年07月23日,,,横县人民政府,2014年06月23日
余杭区,3301102014B01249,宇诚集团股份有限公司,良渚街道古墩路北侧、亿丰置业西侧,1.103500,1.103500,其他商服用地,挂牌出让,40,商务服务业,八级,3592.0000,宇诚集团股份有限公司,2.00,2.50,2014年09月30日,2015年09月30日,2018年09月30日,,,,2014年06月23日
农十二师本级,6612002014B00811,新疆宝新恒源物流园配套生活服务区（二期）建设项目,头屯河农场一连,4.250600,0.000000,其他普通商品住房用地,挂牌出让,50,房地产业,六级,4792.0000,新疆汇龙天华房地产开发有限公司,1.00,2.50,2015年03月01日,2015年04月01日,2017年04月01日,,,十二师,2014年06月23日
新源县,6540252014B00056,加油站,新源县则克台镇铁木里克村,0.666670,0.000000,其他商服用地,挂牌出让,40,零售业,未评估地区,150.0000,马俊宝,1.00,1.50,2014年08月20日,2015年04月10日,2017年04月10日,,,新源县,2014年06月23日
新源县,6540252014B00069,商业楼,新源县城西新区经二路以西，青年街以南,1.425570,0.000000,其他商服用地,挂牌出让,40,房地产业,三级,1111.9400,新源县固强建筑安装工程有限责任公司,1.00,1.50,2014年08月20日,2015年04月10日,2018年04月10日,,,新源县,2014年06月23日
农九师本级,6609002014B00219,新疆北大荒绿翔种业有限公司一六三团种子加工厂,一六三团四连,4.666700,0.000000,工业用地,挂牌出让,50,农、林、牧、渔服务业,十三等级,318.2689,新疆北大荒绿翔种业有限公司,0.80,,2014年07月25日,2014年07月30日,2015年10月31日,,,新疆兵团第九师,2014年06月23日
农九师本级,6609002014B00206,一六六团望花小区底商廉租楼,一六六团团部望花小区,0.020998,0.020998,其他商服用地,挂牌出让,40,农业,十四等级,2.9397,九师一六六团,2.64,,2014年06月25日,2014年06月30日,2015年10月31日,,,新疆兵团第九师,2014年06月23日
阜新蒙古族自治县,2109212014A00640,关于育才中学综合楼等项目用地,阜蒙县文化路106号,3.030300,0.000000,科教用地,划拨,,教育业,十二级,0.0000,,0.40,0.00,2014年06月24日,2014年06月30日,2015年12月31日,,,阜蒙县国土资源局,2014年06月23日
