行政区,电子监管号,项目名称,项目位置,面积(公顷),土地来源,土地用途,供地方式,土地使用年限,行业分类,土地级别,成交价格(万元),土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期
宣州区,3418022016B00157,沈村镇2015年工业项目1号地,沈村镇,0.113200,0.000000,工业用地,挂牌出让,50,制造业,十级,20.0000,宣城逐波体育用品有限公司,1.00,0.00,2016年03月27日,2016年06月27日,2017年06月27日,,,宣州区人民政府,2016年02月27日
肇东市,2312822016B00137,商服,肇东市五站镇五站十字街北东侧、五站工程队家属楼南侧区域,0.192700,0.192700,其他商服用地,挂牌出让,40,商务服务业,三级,100.0113,汪宏印,1.00,3.00,2016年05月01日,2016年05月01日,2019年05月01日,,,肇东市,2016年02月27日
博白县,4509232015B00334,广西博白恒信房地产开发有限公司商业用地,博白县城区规划60米城东大道的东面，规划52米锦绣东路延长线的北面,7.907900,0.000000,其他商服用地,挂牌出让,40,房地产业,十三等级,31700.0000,广西博白恒信房地产开发有限公司,,1.50,2018年02月26日,2018年02月27日,2020年02月27日,,,博白县,2016年02月27日
宣州区,3418022016B00144,寒亭镇2014年工业项目2号地,寒亭镇,0.866800,0.000000,工业用地,挂牌出让,50,制造业,十级,158.0000,安徽立得成革业有限公司,1.00,0.00,2016年03月27日,2016年06月27日,2017年06月27日,,,宣州区人民政府,2016年02月27日
黄岛区,3702112016B13104,青岛明月海藻集团有限公司,海西路西、明月路北,1.457000,0.000000,工业用地,拍卖出让,50,食品制造业,二级,441.0000,青岛明月海藻集团有限公司,1.00,,2016年03月11日,2017年03月11日,2019年03月11日,,,黄岛区,2016年02月27日
黄岛区,3702112015B12724,青岛骐晟达投资有限公司,背儿山路北、青岛利德金丰实业有限公司西,1.721500,0.000000,工业用地,拍卖出让,50,金属制品业,三级,446.0000,青岛骐晟达投资有限公司,1.00,,2016年03月11日,2017年03月11日,2019年03月11日,,,黄岛区,2016年02月27日
宣州区,3418022016B00169,宣州区原宣州市蟹苗繁殖场地块四,水阳镇,0.208300,0.208300,工业用地,挂牌出让,50,建筑业,十级,41.6000,宣城青松钢材剪折有限公司,1.00,0.00,2016年03月27日,2016年06月27日,2017年06月27日,,,宣州区人民政府,2016年02月27日
宣州区,3418022016B00121,水阳镇2014年工业项目2号地、6号地,水阳镇,0.782000,0.000000,工业用地,挂牌出让,50,零售业,十级,156.0000,宣城市德明食品厂,1.00,0.00,2016年03月27日,2016年06月27日,2017年06月27日,,,宣州区人民政府,2016年02月27日
广水市,4213812016B00145,中国邮政集团公司湖北省广水市分公司,关庙镇关庙街社区,0.306100,0.000000,其他商服用地,挂牌出让,40,商务服务业,一级,102.0000,中国邮政集团公司湖北省广水市分公司,1.00,1.60,2017年02月01日,2017年02月02日,2019年02月02日,,,广水市,2016年02月27日
黄岛区,3702112015B12690,青岛威盛建元新材料有限公司,黄岛区泊里镇泊里三路以南、董家口路以东,0.472000,0.000000,工业用地,拍卖出让,50,化学纤维制造业,二级,144.0000,青岛威盛建元新材料有限公司,1.00,,2016年03月11日,2017年03月11日,2019年03月11日,,,黄岛区,2016年02月27日
黄岛区,3702112016B13045,青岛威盛建元新材料有限公司,泊里镇海泊三路南、董家口路东,1.000000,0.000000,工业用地,拍卖出让,50,化学纤维制造业,二级,304.0000,青岛威盛建元新材料有限公司,1.00,,2016年02月27日,2017年03月11日,2019年03月11日,,,黄岛区,2016年02月27日
林州市,4105812016A00121,LZHB2016-1,长春大道东段北侧,2.892400,0.000000,科教用地,划拨,,教育业,一级,,,,0.80,2016年02月27日,2017年02月27日,2019年02月27日,,,林州市人民政府,2016年02月27日
淄博市本级,3703002016B14290,淄博博山正誉资产管理有限公司,博山峨嵋山西路1号,0.826483,0.826483,商务金融用地,挂牌出让,40,商务服务业,二级,1844.0000,淄博博山正誉资产管理有限公司,,2.70,2016年04月16日,1900年01月01日,1900年01月01日,,,淄博市,2016年02月27日
宣州区,3418022016B00174,新田镇2013年工业项目12号地,新田镇,0.465700,0.000000,工业用地,挂牌出让,50,制造业,九级,80.0000,宣城市新达工艺品有限公司,1.00,,2016年03月27日,2016年06月27日,2017年06月27日,,,宣州区人民政府,2016年02月27日
