行政区,电子监管号,项目名称,项目位置,面积(公顷),土地来源,土地用途,供地方式,土地使用年限,行业分类,土地级别,成交价格(万元),土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期
杭锦旗,1506252012B00118,鄂尔多斯市金泰通石油化工有限责任公司,杭锦旗独贵塔拉工业园区,20.000000,0.000000,工业用地,挂牌出让,50,石油和天然气开采业,三级,1220.0000,鄂尔多斯市金泰通石油化工有限责任公司,,0.60,2012年03月05日,2012年05月25日,2014年06月25日,,,杭锦旗,2012年01月24日
杭锦旗,1506252012B00088,杭锦旗昊凯玻璃钢管制造有限责任公司,杭锦旗锡尼镇新兴产业园区,2.000000,0.000000,工业用地,挂牌出让,50,化学纤维制造业,一级,120.0000,杭锦旗昊凯玻璃钢管制造有限责任公司,0.70,1.50,2012年02月10日,2012年06月15日,2014年09月25日,,,杭锦旗,2012年01月24日
迁安市,1302832012B00431-1,河北海钺耐磨材料科技有限公司,夏官营镇兴发路西、向东棉纺厂东侧,6.875600,0.000000,工业用地,挂牌出让,50,金属制品业,十级,1165.4074,河北海钺耐磨材料科技有限公司,1.00,,2012年01月20日,2012年03月01日,2013年03月01日,,,迁安市,2012年01月24日
杭锦旗,1506252012B00124,鄂尔多斯市金泰通石油化工有限责任公司,杭锦旗独贵塔拉工业园区,16.000000,0.000000,工业用地,挂牌出让,50,石油和天然气开采业,一级,976.0000,鄂尔多斯市金泰通石油化工有限责任公司,0.60,0.60,2012年03月24日,2012年06月20日,2014年10月25日,,,杭锦旗,2012年01月24日
庐江县,3414212012B00089,工业,石头镇社区,2.653300,2.653300,工业用地,协议出让,50,农副食品加工业,十三等级,198.9975,庐江县光明大米加工厂,,1.00,2012年01月30日,1900年01月01日,1900年01月01日,,,庐江县,2012年01月24日
中山市,4420002012B00257,工业项目建设,中山市南头镇民安村,1.333330,0.000000,工业用地,挂牌出让,50,其它,三级,679.9983,广东奥马电器股份有限公司,0.80,2.50,2012年03月10日,2012年09月06日,2014年02月28日,,,中山市,2012年01月24日
南丰县,3610232012B00077,住宅,南丰县傩乡大道旁,0.205400,0.205400,其他普通商品住房用地,拍卖出让,70,房地产业,五级,620.3080,金溪县象山房地产开发公司,1.00,6.80,2012年03月26日,2013年01月19日,2015年01月19日,,,南丰县,2012年01月24日
保康县,4206262012B00015,襄阳富襄现代农业开发有限公司,保康县黄堡镇大坪村,1.985000,0.000000,工业用地,挂牌出让,50,畜牧业,十三等级,190.5600,襄阳富襄现代农业开发有限公司,0.00,0.00,2012年01月24日,2012年07月24日,2014年07月24日,,,保康县,2012年01月24日
中山市,4420002012B00207,纺织服装制作,中山市大涌镇青岗社区,0.702400,0.000000,工业用地,挂牌出让,50,纺织服装、鞋、帽制造业,五级,737.5550,中山市大涌镇富荣达制衣厂,1.00,,2012年03月26日,2012年09月22日,2014年03月16日,,,中山市,2012年01月24日
杭锦旗,1506252012B00657,工业,杭锦旗独贵塔拉工业园区,16.000000,0.000000,工业用地,挂牌出让,50,石油加工、炼焦及核燃料加工业,一级,976.0000,鄂尔多斯市金泰通石油化工有限责任公司,,0.60,2012年03月24日,2012年06月20日,2014年10月25日,,,杭锦旗,2012年01月24日
南昌县,3601212012B00036,天集房地产,南昌县范围内墨山立交桥以西（原南昌南货场）,6.574700,6.574700,中低价位、中小套型普通商品住房用地,挂牌出让,70,房地产业,十二级,10370.8792,南昌铁路天集房地产开发有限责任公司,1.00,2.20,2012年02月15日,2012年05月15日,2014年05月14日,,,江西省南昌县,2012年01月24日
