行政区,电子监管号,项目名称,项目位置,面积(公顷),土地来源,土地用途,供地方式,土地使用年限,行业分类,土地级别,成交价格(万元),土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期
神木县,6108212012B00108,神木县广利源矿业机械厂修建机械加工厂,麻家塔乡老龙池村,2.800000,0.000000,工业用地,挂牌出让,50,专用设备制造业,未评估地区,340.0000,神木县广利源矿业机械厂,,0.90,2012年03月18日,2012年03月19日,2014年03月18日,,,神木县,2012年02月18日
修武县,4108212012A00307,公共管理与公共服务,丰收路南侧,2.160100,0.000000,医卫慈善用地,划拨,,,四级,,,,,1900年01月01日,1900年01月01日,1900年01月01日,,,,2012年02月18日
开封市本级,4102002012A00055,职教园区建设,开封新区职教园区医药高级技工学校,15.008500,0.000000,科教用地,划拨,,教育业,四级,,,0.40,0.60,2012年09月01日,2013年03月01日,2016年03月01日,,,开封市人民政府,2012年02月18日
仙桃市,4290042012A01077,仙桃市郑场镇人民政府,仙桃市郑场镇郑潜路北侧（贾窑村段面）,0.066426,0.066426,公路用地,划拨,,国家机构,四级,,,,,2012年03月18日,2013年02月18日,2014年02月18日,,,湖北省人民政府,2012年02月18日
德化县,3505262012B00070,厂房及配套设施,城东工业项目区,0.148900,0.148900,工业用地,挂牌出让,50,工艺品及其他制造业,十四等级,34.0000,福建省德化惠盛陶瓷有限公司,1.00,2.50,2012年03月17日,2012年08月17日,2014年08月17日,,,德化县,2012年02月18日
仙桃市,4290042012B00430,仙桃市花源房地产开发有限公司,仙桃市胡场镇建堤村通顺河以东，龙潭东北侧,2.700000,2.700000,中低价位、中小套型普通商品住房用地,挂牌出让,70,建筑装饰业,四级,842.0000,仙桃市花源房地产开发有限公司,1.20,1.50,2012年04月17日,2013年04月17日,2016年04月17日,,,仙桃市,2012年02月18日
德化县,3505262012B00067,厂房及配套设施,城东工业项目区,0.173946,0.173946,工业用地,挂牌出让,50,工艺品及其他制造业,十四等级,39.5000,福建省德化荣昌色釉料有限公司,1.00,2.50,2012年03月17日,2012年08月17日,2014年08月17日,,,德化县,2012年02月18日
梅江区,4414022012B00439,曹敏、张利珍,城北梅石路,0.032900,0.032900,其他普通商品住房用地,协议出让,70,房地产业,一级,2.7735,曹敏、张利珍,,,2012年02月18日,1900年01月01日,1900年01月01日,,,梅州市,2012年02月18日
永康市,3307842012B00171,西城街道大徐1弄48号地块,西城街道大徐1弄48号,0.425400,0.000000,工业用地,协议出让,50,金属制品业,四级,187.9800,永康市奇牌不锈钢制品厂,,1.00,2012年02月18日,2012年08月18日,2013年08月18日,,,永康市,2012年02月18日
德化县,3505262012B00050,厂房及配套设施,城东工业项目区,0.134430,0.134430,工业用地,挂牌出让,50,工艺品及其他制造业,十四等级,30.5000,福建省德化县零度创意有限公司,1.00,2.50,2012年03月17日,2012年08月17日,2014年08月17日,,,德化县,2012年02月18日
和布克赛尔蒙古自治县,6542262012B00335,和布克赛尔县农村信用合作联社办公楼,和布克赛尔县敖包特东街北侧,0.318200,0.318200,商务金融用地,挂牌出让,40,银行业,一级,131.0000,和布克赛尔县农村信用合作社,1.00,1.00,2012年02月18日,2012年02月18日,2013年02月18日,,,和布克赛尔县,2012年02月18日
仙桃市,4290042012B00841,仙桃市冠城房地产开发有限公司,仙桃市胡场镇建堤村通顺河东侧,0.300000,0.300000,中低价位、中小套型普通商品住房用地,挂牌出让,70,房地产业,四级,94.0000,仙桃市冠城房地产开发有限公司,1.20,1.50,2012年04月17日,2013年04月17日,2015年04月17日,,,仙桃市,2012年02月18日
仙桃市,4290042012B00397,仙桃市万顺不锈钢制品有限公司,仙桃市张沟镇新里仁口绿化村七组,1.907210,1.907210,工业用地,挂牌出让,50,金属制品业,四级,239.8000,仙桃市万顺不锈钢制品有限公司,0.70,,2012年03月18日,2013年02月18日,2014年02月18日,,,仙桃市,2012年02月18日
高密市,3707852012B03236,高密星合电子有限公司工业项目,昌安大道西、盛泉街北,6.599800,0.000000,工业用地,挂牌出让,50,通讯设备、计算机及其他电子设备制造业,十二级,1657.0000,高密星合电子有限公司,0.80,,2012年02月18日,2012年08月18日,2014年08月18日,,,高密市,2012年02月18日
阳原县,1307272012B00015,陶瓷制造,阳原县西城镇南关村南,3.333300,0.000000,工业用地,挂牌出让,50,其它,十三等级,325.0000,阳原县达鑫陶瓷有限责任公司,1.00,1.50,2012年02月20日,2012年02月20日,2013年02月20日,,,阳原县,2012年02月18日
