行政区,电子监管号,项目名称,项目位置,面积(公顷),土地来源,土地用途,供地方式,土地使用年限,行业分类,土地级别,成交价格(万元),土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期
乌鲁木齐市本级,6501002015B06992,试验风电场一期49.5兆瓦工程项目,乌鲁木齐市达坂城区柴窝堡管委会,1.462120,0.000000,工业用地,挂牌出让,50,其它,未评估地区,225.0000,乌鲁木齐金风天翼风电有限公司,0.50,0.00,2015年04月10日,2016年04月09日,2018年04月09日,,,乌鲁木齐市,2015年04月28日
濮阳市本级,4109002015A00197,代征道路和绿化带,中原路北、化工二路西,2.129900,0.000000,街巷用地,划拨,,公共设施管理业,十级,0.0000,,,,1900年01月01日,1900年01月01日,1900年01月01日,,,濮阳市人民政府,2015年04月28日
乳山市,3710832015B00295,大乳山北门票务房,大乳山旅游度假区景区内,0.613300,0.000000,其他商服用地,拍卖出让,40,房地产业,二级,450.8000,山东乳山维多利亚海湾旅游开发股份有限公司,,0.50,2015年05月08日,2016年05月07日,2019年05月07日,,,乳山市,2015年04月28日
伽师县,6531292015B00087,伽师县金炬彩印包装有限公司建设项目,伽师县铁日木想至格达良公路以东，排碱渠以东,2.424300,0.000000,工业用地,挂牌出让,50,造纸及纸质品业,四级,10.1821,伽师县金炬彩印包装有限公司,,1.00,2015年04月30日,2015年04月30日,2017年04月30日,,,伽师县人民政府,2015年04月28日
新和县,6529252015B00068,新和县喀拉库木村扎花厂扩建项目二期,新和县渭干乡喀拉库木村,0.580790,0.000000,工业用地,挂牌出让,50,农副食品加工业,未评估地区,11.0350,中棉集团新和棉业有限公司,,1.00,2015年04月28日,2015年05月08日,2016年10月31日,,,新和县国土资源局,2015年04月28日
新和县,6529252015B00050,新和县喀拉库木村扎花厂扩建项目,新和县渭干乡喀拉库木村,0.299340,0.000000,工业用地,挂牌出让,50,农副食品加工业,未评估地区,5.6875,中棉集团新和棉业有限公司,,1.00,2015年04月28日,2015年05月08日,2016年10月31日,,,新和县国土资源局,2015年04月28日
奎屯市,6540032015A00037,开干齐乡110KV变电站,开干齐乡,0.500000,0.000000,公共设施用地,划拨,,其它,四级,15.0000,,0.20,0.50,2015年04月28日,2015年05月01日,2016年04月30日,,,奎屯市国土资源局,2015年04月28日
平邑县,3713262015B00200,年加工40万平方米高档石材项目,平邑县石材城片区，东至平邑县水利局沟渠，西至东贺庄村土地，南至东贺庄村土地，北至东贺庄村土地。,1.291670,0.000000,工业用地,挂牌出让,50,砖瓦、石材及其他建筑材料制造,十三等级,312.1965,平邑县华海进口石材厂、平邑县三泰石业有限公司,1.00,0.00,2015年04月30日,2015年04月30日,2016年04月30日,,,平邑县,2015年04月28日
永泰县,3501252015B00420-1,县商贸物流园一期项目,永泰县城峰镇温泉村,6.125000,1.048400,其他普通商品住房用地,拍卖出让,40,房地产业,十三等级,13420.0000,福建润诚置业有限公司,1.00,2.66,2015年11月12日,2016年05月12日,2019年05月12日,,,,2015年04月28日
乌鲁木齐县,6501212015A01986,萨尔达坂乡学府变电站,萨尔达坂乡,52.066800,0.000000,公共设施用地,划拨,,火力发电,十二级,0.0000,,1.00,0.00,2015年04月28日,2015年04月30日,2015年12月31日,,,新疆国土资源厅,2015年04月28日
