行政区,电子监管号,项目名称,项目位置,面积(公顷),土地来源,土地用途,供地方式,土地使用年限,行业分类,土地级别,成交价格(万元),土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期
肃州区,6209022013B00144,光电产品产业化配套项目,甘肃酒泉工业园区（西园）,0.800000,0.000000,工业用地,挂牌出让,50,专用设备制造业,十三等级,76.8000,酒泉元德投资咨询有限公司,,1.00,2013年01月23日,2013年03月15日,2015年10月31日,,,酒泉市,2013年01月25日
诸城市,3707822013B06324,年产5000吨帆布项目,诸城市辛兴镇工业园区内,1.327300,0.000000,工业用地,挂牌出让,50,纺织服装、鞋、帽制造业,十一级,230.9502,山东天衡化纤股份有限公司,0.80,0.00,2013年01月31日,2013年02月02日,2014年03月12日,,,诸城市,2013年01月25日
托克逊县,6521232013B00018,旧城改造,托克逊县解放南路东侧（原邮政局鸿雁宾馆）,0.043160,0.043160,住宿餐饮用地,挂牌出让,40,住宿业,二级,18.1000,刘俊锋,1.00,1.50,2013年01月25日,2013年02月10日,2015年02月10日,,,托克逊县,2013年01月25日
余姚市,3302812013B00087,余姚市供电局新建泗门供电所生产用房,泗门镇东大街社区,0.878750,0.000000,公共设施用地,协议出让,50,其它,一级,455.1925,余姚市供电局,1.04,1.04,2013年02月20日,2013年12月20日,2015年12月20日,,,余姚市,2013年01月25日
通江县,5119212013B00485,住宅,通江县洪口镇兰央田街,0.014000,0.014000,其他普通商品住房用地,协议出让,50,住宿业,一级,1.6100,何水源,1.00,3.00,2013年01月26日,2013年01月26日,2014年01月25日,,,通江县,2013年01月25日
商丘市本级,4114002013B00115,商丘市宏明房地产开发有限公司,梁园区平原街道办事处，北至新兴路,1.311882,0.000000,其他商服用地,协议出让,40,房地产业,四级,36.4000,商丘市宏明房地产开发有限公司,,2.10,2013年03月25日,2014年01月25日,2016年01月25日,,,商丘市,2013年01月25日
原平市,1409812013A00028,民兵培训中心,原平市铝厂大道东侧,0.662900,0.000000,机关团体用地,划拨,,国家机构,未评估地区,91.3000,,,1.70,2013年03月15日,2013年03月16日,2013年09月30日,,,原平市人民政府,2013年01月25日
大庆市本级,2306002013B00182-1,杜尔伯特蒙古族自治县华达建材经贸项目,大庆高新区太阳谷翔安大街东侧、秀水路北侧,0.400000,0.002500,商务金融用地,挂牌出让,40,其他金融服务,三级,329.4000,大庆高新林通石化产品销售有限公司,0.00,0.50,2013年01月31日,2013年01月31日,2016年01月31日,,,大庆市,2013年01月25日
商丘市本级,4114002013B00072,居住兼容商业服务（商丘市华锦置业有限公司）,睢阳区，东至南昌市兴城房地产开发公司商丘分公司，西至昆仑路（规划）、忠民沟，南至长江路（规划），北至周庄路（规划）,2.240984,1.807011,中低价位、中小套型普通商品住房用地,协议出让,其他商服用地40年; 中低价位、中小套型普通商品住房用地70,房地产业,三级,608.9600,商丘市华锦置业有限公司,1.00,3.60,2013年01月25日,2013年07月26日,2015年07月26日,,,商丘市,2013年01月25日
建阳市,3507842013B01612-1,木材加工,建阳市童游街道办事处南林村,0.220500,0.000000,工业用地,挂牌出让,50,木材加工及木、竹、藤、棕、草制品业,十三等级,21.2000,福建省建阳市嘉鹏木业有限公司,0.80,,2017年04月30日,2017年10月30日,2018年10月30日,,,建阳市,2013年01月25日
建阳市,3507842012B01606-2,木材加工,建阳市童游街道办事处南林村,0.214000,0.000000,工业用地,挂牌出让,50,木材加工及木、竹、藤、棕、草制品业,十三等级,20.6000,福建省建阳市嘉鹏木业有限公司,0.80,,2017年04月30日,2017年10月30日,2018年10月30日,,,建阳市,2013年01月25日
裕民县,6542252013B00058,谢裕,龙珍路,0.057070,0.057070,其他普通商品住房用地,协议出让,20,居民服务业,二级,1.1642,谢裕,,,2013年01月23日,1900年01月01日,1900年01月01日,,,裕民县,2013年01月25日
博爱县,4108222012A00412,河南裕华高白玻璃有限公司建设项目,博爱县新济公路北侧,16.261700,0.000000,公共设施用地,划拨,,其它,三级,1935.1423,,,,2013年01月28日,2013年01月28日,2013年01月28日,,,博爱县人民政府,2013年01月25日
博罗县,4413222013B00270,博罗县盈峰五金制罐有限公司兴建工业厂房,石湾镇铁场村朱黎村民小组四十米大道（铁场段）东侧地段,0.500000,0.000000,工业用地,挂牌出让,50,金属制品业,三级,130.0000,博罗县盈峰五金制罐有限公司,0.70,1.50,2013年02月25日,2013年07月25日,2015年07月24日,,,博罗县,2013年01月25日
博罗县,4413222013B00252,惠州创成塑胶制品有限公司兴建工业厂房,杨侨镇石岗岭办事处地段,0.687300,0.687300,工业用地,挂牌出让,50,塑料制品业,一级,155.0000,惠州创成塑胶制品有限公司,1.00,1.50,2013年02月25日,2013年07月25日,2015年07月24日,,,博罗县,2013年01月25日
奇台农场,6606182013B00010,20万吨活性炭60万吨焦炭综合利用项目,奇台农场八道滩，规划美景路南侧，规划工业大道西侧。,6.666600,0.000000,工业用地,挂牌出让,30,石油加工、炼焦及核燃料加工业,十四等级,196.6647,新疆美景煤化工有限公司,0.50,,2013年02月01日,2013年04月01日,2013年12月31日,,,农六师,2013年01月25日
